name,address,phone,opening_date
"Головной офис","ул. Тверская, 25, Москва","+74951234567","2018-04-12"
"Северный филиал","пр. Просвещения, 89, Санкт-Петербург","+78129876543","2019-08-15"
"Южное отделение","ул. Красная, 32, Сочи","+78622556677","2020-03-20"
"Дальневосточный банк","ул. Светланская, 78, Владивосток","+74232233445","2017-11-10"
"Уральское отделение","ул. Ленина, 50, Екатеринбург","+73432897654","2021-02-18"
"Сибирский филиал","ул. Кирова, 35, Новосибирск","+73832233456","2019-07-22"
"Крымское отделение","ул. Набережная, 15, Симферополь","+73652556677","2020-05-30"
"Приволжский банк","ул. Баумана, 44, Казань","+78432233445","2018-09-14"
"Черноземный филиал","пр. Революции, 32, Воронеж","+74732233456","2021-04-05"
"Северо-Западное отделение","ул. Советская, 18, Калининград","+74122556677","2020-10-12"
